,Date,Russia_Ukraine_Date_Flag,Covid_Flag,US_Crude_Oil_Prices_Dollar_Per_Barrel,Federal_Rates_Monthly,Nominal_Broad_US_Dollar_Index,CPI_Value_Inflation,producer_price_index_all_commodities
2,2013-03-01,0,0,0.0242415664916944,-0.005704800114392117,0.09360898713927845,-0.04993762371527022,-0.07731116052483716
3,2013-04-01,0,0,-0.05168484931248085,0.005704800114392117,-0.039666849009269534,-0.03314858681334143,-0.0073629676690316614
4,2013-05-01,0,0,0.01555119359844559,-0.022819200457568134,0.05223778802205814,0.02561304234340578,0.04049632217967597
5,2013-06-01,0,0,-0.04253708837221848,-0.011409600228784122,0.08191736251339421,0.00566141942041809,-0.014725935338063212
6,2013-07-01,0,0,0.34715752768294306,0.0,0.06391855691477,-0.018233674960930868,-0.00368148383451683
7,2013-08-01,0,0,0.07089514728703028,-0.005704800114392117,-0.017097779745374186,0.007379367382475355,-0.011044451503548491
8,2013-09-01,0,0,-0.029272835008838483,0.0,-0.026520556138380114,-0.0003513984467851117,-0.003681483834514776
9,2013-10-01,0,0,-0.28083626086604263,0.005704800114392117,-0.10544173629639375,-0.03416373788183069,-0.040496322179677025
10,2013-11-01,0,0,-0.3421262591657992,-0.005704800114392117,0.09492253085304858,0.00491957825498357,0.0036814838345158307
11,2013-12-01,0,0,0.14407723480912615,0.005704800114392117,0.017401740274181732,0.017843232242283014,0.07731116052483716
12,2014-01-01,0,0,-0.10428447471898683,-0.011409600228784122,0.10104516436186795,0.034632269144208916,0.036814838345160195
13,2014-02-01,0,0,0.33343588627255016,0.0,0.019627165574373162,-7.808854372926e-05,0.003681483834514776
14,2014-03-01,0,0,-0.03155977524390363,0.005704800114392006,-0.02223254153557308,0.025261643896621888,-0.022088903007094846
15,2014-04-01,0,0,0.014636417504418908,0.005704800114392117,-0.04832972408025804,-0.028619451277007935,-2.7755575615628914e-17
16,2014-05-01,0,0,-0.034304103525982566,0.0,-0.03534626720694445,0.001913169321382746,-0.058903741352257094
17,2014-06-01,0,0,0.134472085821852,0.005704800114392006,0.01708692401220202,-0.015032044668006339,0.022088903007096927
18,2014-07-01,0,0,-0.09056283330859416,-0.005704800114392006,-0.024262563638673962,-0.020927729719611765,-0.022088903007096927
